,,,Annual 2004-2005,Annual 2004-2005,Annual 2004-2005,Annual 2005-2006,Annual 2005-2006,Annual 2005-2006,Annual 2006-2007,Annual 2006-2007,Annual 2006-2007,Annual 2007-2008,Annual 2007-2008,Annual 2007-2008,Annual 2008-2009,Annual 2008-2009,Annual 2008-2009,Annual 2009-2010,Annual 2009-2010,Annual 2009-2010,Annual 2010-2011,Annual 2010-2011,Annual 2010-2011,Annual 2011-2012,Annual 2011-2012,Annual 2011-2012,Annual 2012-2013,Annual 2012-2013,Annual 2012-2013,Annual 2013-2014,Annual 2013-2014,Annual 2013-2014,Annual 2014-2015,Annual 2014-2015,Annual 2014-2015,Annual 2015-2016,Annual 2015-2016,Annual 2015-2016,Annual 2016-2017,Annual 2016-2017,Annual 2016-2017,Annual 2017-2018,Annual 2017-2018,Annual 2017-2018,Annual 2018-2019,Annual 2018-2019,Annual 2018-2019,Annual 2019-2020,Annual 2019-2020,Annual 2019-2020,Annual 2020-2021,Annual 2020-2021,Annual 2020-2021,Annual 2021-2022,Annual 2021-2022,Annual 2021-2022,Annual 2022-2023,Annual 2022-2023,Annual 2022-2023,Annual 2023-2024,Annual 2023-2024,Annual 2023-2024,Annual 2024-2025,Annual 2024-2025,Annual 2024-2025
,,California State Work Study (SWS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,78,"$226,984",,,,36,55,"$87,308",,,,,,,,,,,,,,,,236,236,"$41,375"
,,Federal Work Study (FWS) (Federal share),157,241,"$284,492",154,213,"$266,583",142,200,"$266,013",159,237,"$302,246",182,259,"$310,935",181,264,"$362,191",179,308,"$435,400",177,286,"$473,334",210,317,"$517,862",201,297,"$513,894",236,349,"$597,834",188,272,"$464,856",233,360,"$556,595",222,384,"$585,144",240,342,"$574,421",234,355,"$677,685",,,,25,34,"$44,266",98,132,"$218,494",94,134,"$307,450",153,259,"$557,219"
Citrus Total,,,"6,006","18,264","$10,991,366","6,059","19,064","$11,208,315","5,820","18,089","$10,127,311","6,759","23,654","$11,583,997","7,225","25,554","$14,901,860","7,190","26,547","$20,254,928","8,933","32,115","$25,367,559","9,404","31,756","$23,957,283","10,236","34,132","$26,592,415","11,422","37,961","$28,639,874","11,302","37,651","$28,929,374","11,561","40,191","$30,192,319","11,218","35,684","$29,312,645","11,322","37,019","$31,052,356","11,101","39,446","$31,080,622","11,294","45,669","$34,906,639","9,797","42,238","$28,991,648","8,048","39,543","$37,798,796","7,368","32,272","$29,317,515","7,531","33,351","$33,253,484",,,
,California College Promise Grant Total,,"5,935","10,400","$2,524,732","5,977","10,710","$2,702,323","5,741","10,257","$2,351,423","6,641","14,721","$2,299,600","7,052","14,491","$2,518,992","6,937","13,756","$3,001,069","8,691","18,180","$3,862,742","9,202","19,023","$5,462,127","9,944","20,910","$7,716,569","11,191","24,651","$8,849,848","11,063","24,084","$8,960,202","11,343","24,833","$9,176,885","10,989","20,115","$8,291,155","11,093","20,242","$8,275,515","10,832","23,633","$8,881,519","10,583","23,118","$8,836,876","8,830","18,857","$7,280,098","7,176","15,037","$5,879,766","7,079","14,844","$5,981,817","7,253","15,751","$6,427,143",,,
,,California College Promise - Method A-? (unknown base),339,541,"$121,545",259,426,"$92,716",241,379,"$73,264",182,361,"$48,290",143,258,"$38,885",,,,54,103,"$22,009",48,92,"$23,977",78,138,"$50,301",63,82,"$23,299",,,,,,,19,21,"$4,370",6,7,"$2,116",7,11,$966,6,11,"$1,334",1,1,$138,,,,,,,,,,,,
,,California College Promise - Method A-1 based on TANF recipient status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,"$2,760",7,10,"$3,450",3,3,$506,5,6,"$1,656",3,3,$966,1,1,$138,,,,,,,,,
,,California College Promise - Method A-2 based on SSI recipient status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,11,"$3,887",9,15,"$3,013",4,11,"$3,197",9,18,"$5,014",3,7,"$2,254",1,2,$552,,,,,,,,,
,,California College Promise - Method A-3 based on general assistance recipient status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,$230,2,5,"$1,863",1,1,$322,2,2,$414,,,,1,1,$138,,,,,,
,,California College Promise - Method B based on income standards,"3,924","6,795","$1,631,124","3,944","6,928","$1,732,341","3,711","6,487","$1,485,367","4,347","9,371","$1,460,910","2,526","3,927","$578,870","4,339","8,527","$1,846,771","5,689","11,470","$2,445,157","6,127","12,256","$3,515,722","6,588","13,430","$4,973,543","7,485","15,893","$5,706,829","11,063","24,084","$8,960,202","11,343","24,833","$9,176,885","7,237","12,826","$5,292,438","7,177","12,836","$5,231,189","6,953","14,497","$5,444,146","6,537","13,603","$5,194,619","5,303","10,550","$4,094,736","4,099","8,066","$3,158,797","3,909","7,778","$3,144,238","3,912","8,044","$3,294,221",,,
,,California College Promise - Method C based on financial need,"1,721","3,064","$772,063","1,818","3,356","$877,266","1,840","3,391","$792,792","2,211","4,989","$790,400","5,218","10,306","$1,901,237","2,598","5,229","$1,154,298","3,295","6,607","$1,395,576","3,302","6,675","$1,922,428","3,518","7,342","$2,692,725","4,089","8,622","$3,096,260",,,,,,,"4,123","7,181","$2,953,890","4,062","7,301","$3,004,053","4,242","8,995","$3,383,668","4,433","9,376","$3,594,279","3,915","8,246","$3,163,811","3,364","6,935","$2,705,007","3,494","7,042","$2,827,275","3,654","7,684","$3,121,836",,,
,,Fee Waiver – Dependent (children) of Deceased Law Enforcement/Fire Suppression,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,$920,,,,,,,1,2,"$1,610",1,2,$322,,,,1,3,"$1,472",2,2,$598,,,,,,,,,,,,
,,Fee Waiver – Dependent of (children) deceased or disabled Veteran,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,52,"$22,540",,,,,,,36,65,"$32,200",37,70,"$31,142",47,111,"$47,173",46,100,"$38,180",18,46,"$17,181",17,33,"$15,272",14,23,"$10,166",13,23,"$11,086",,,
,Grants Total,,"2,461","6,817","$6,482,135","2,528","7,310","$6,779,410","2,313","6,876","$6,274,238","2,874","8,123","$7,751,140","3,413","9,630","$9,485,584","4,219","11,064","$14,089,079","5,269","11,870","$17,625,431","5,059","11,080","$15,873,109","5,069","11,506","$16,211,009","5,309","11,976","$17,602,681","5,153","12,170","$17,715,969","5,081","14,248","$19,085,719","4,953","14,167","$18,747,183","5,103","15,513","$20,598,162","4,763","14,620","$20,385,962","7,809","21,520","$24,393,787","7,613","22,736","$20,711,859","6,675","23,938","$30,962,932","4,224","16,580","$21,865,630","4,299","16,603","$25,170,379",,,
,,Academic Competitiveness Grant,,,,,,,21,39,"$15,725",13,25,"$11,025",36,60,"$27,042",81,140,"$57,208",90,155,"$68,512",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Basic Needs Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,70,"$25,500",701,924,"$128,448","1,086","1,468","$545,356",,,
,,Cal Grant B,543,946,"$651,938",566,968,"$675,275",531,918,"$642,108",579,"1,013","$709,032",537,926,"$639,976",555,975,"$661,243",689,"1,209","$835,853",689,"1,161","$808,147",658,"1,125","$747,620",769,"1,321","$883,899",812,"1,422","$1,057,221","1,026","1,829","$1,378,206","1,089","1,946","$1,480,834","1,293","2,277","$1,735,553","1,203","2,098","$1,601,919","1,006","1,753","$1,646,866",661,"1,133","$1,083,770","1,335","2,173","$2,142,142","1,209","1,979","$1,999,584","1,310","2,235","$2,386,651",,,
,,Cal Grant C,37,58,"$14,250",49,82,"$20,376",45,74,"$18,144",51,86,"$22,176",32,52,"$12,618",29,41,"$10,800",31,49,"$12,312",24,38,"$9,432",27,44,"$9,786",26,40,"$9,234",29,47,"$10,945",46,81,"$18,538",40,65,"$15,258",53,81,"$36,795",66,103,"$49,712",71,115,"$80,463",46,74,"$61,336",6,8,"$6,145",3,4,"$3,332",,,,,,
,,CalWORKs Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,58,"$5,800",,,,,,
,,CARE Grant,,,,,,,,,,94,94,"$61,965",118,197,"$181,480",71,131,"$93,362",50,74,"$49,014",35,58,"$42,200",37,58,"$38,222",28,42,"$30,289",28,43,"$21,939",35,56,"$75,761",29,49,"$75,667",19,27,"$44,997",15,28,"$34,711",33,60,"$44,802",17,26,"$13,300",13,19,"$12,289",13,16,"$24,000","1,218","2,081","$1,090,591",,,
,,CARES/HEERF federal grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,461","6,461","$2,395,375","7,157","11,337","$4,355,750","6,355","9,991","$13,380,297",,,,,,,,,
,,Chafee Grant,,,,17,28,"$77,500",,,,,,,,,,26,49,"$124,334",34,58,"$149,712",31,51,"$125,765",26,44,"$108,750",19,28,"$67,500",31,43,"$124,093",38,67,"$151,355",23,32,"$80,000",25,35,"$86,175",41,48,"$123,750",24,29,"$72,500",17,28,"$58,750",31,42,"$127,266",40,66,"$120,000",42,58,"$143,181",,,
,,Completion Grant (CCCG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,288,"$211,895",,,,,,,,,,,,,,,,,,,,,
,,CSAC CNG EAAP (California Student Aid Commission California National Guard Education Assistance Award Program),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,$835,1,2,"$1,672",1,2,"$1,672",,,,,,,,,,,,,,,,,,
,,Disaster Relief Emergency Student Financial Aid (SB 116),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,080","1,404","$1,072,859",959,"1,696","$846,831",20,22,"$22,000",,,
,,EOPS Grant,,,,,,,,,,833,"1,167","$276,400",868,"1,479","$353,100",448,894,"$223,398",499,726,"$142,012",540,887,"$202,138",563,936,"$210,780",584,"1,031","$304,592",554,976,"$279,000",680,"1,277","$523,962",751,"1,321","$556,593",763,"1,338","$471,540",743,"1,491","$489,993",652,"1,138","$376,140",436,667,"$176,900",333,500,"$116,500",643,"1,162","$611,910",793,"1,270","$588,859",,,
,,Full-time Student Success Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799,"1,305","$391,310",909,"1,477","$443,000",956,"1,571","$785,500",,,,,,,,,,,,,,,,,,,,,
,,Golden State Education and Training Grant Program (GSETGP) Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,25,"$32,500",7,13,"$16,250",,,,,,
,,Other grant: California College Promise (AB19) source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,"$4,000",606,610,"$153,750",5,5,"$1,000",,,
,,Other grant: institutional source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23,"$5,750",556,557,"$139,250",16,16,"$3,500",,,
,,Other grant: non-institutional source,,,,,,,,,,,,,1,2,$500,28,55,"$26,814",2,4,"$2,000",1,1,$500,1,1,$180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pell Grant,"2,434","3,987","$5,450,840","2,488","4,416","$5,642,911","2,277","3,946","$5,218,289","2,596","4,632","$6,449,424","3,176","5,283","$7,944,768","4,131","7,463","$12,628,186","5,241","8,895","$16,189,664","5,007","8,178","$14,512,549","5,002","8,493","$14,894,421","5,207","8,816","$16,132,756","5,044","8,703","$15,989,001","4,943","8,665","$16,304,575","4,792","8,352","$15,863,996","4,950","8,835","$16,959,285","4,602","8,251","$16,302,223","4,935","9,018","$17,818,386","3,671","6,507","$13,078,116","3,399","5,884","$11,680,977","3,597","6,141","$13,479,700","3,661","6,523","$15,706,014",,,
,,SEOG (Supplemental Educational Opportunity Grant),"1,167","1,826","$365,107","1,086","1,816","$363,348","1,195","1,899","$379,972","1,100","1,106","$221,118",994,"1,631","$326,100",836,"1,316","$263,734",520,700,"$176,352",453,706,"$172,378",586,805,"$201,250",471,698,"$174,411",664,936,"$233,770",692,968,"$242,012",650,924,"$231,000",738,"1,059","$264,750",778,"1,100","$274,896","1,112","1,556","$389,000","1,564","2,082","$520,250","1,911","2,417","$604,084","1,389","1,987","$496,301",885,"1,289","$321,864",,,
,,Student Success Completion Grant (SSCG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,955,"1,499","$1,507,086",846,"1,390","$1,570,255",541,882,"$1,363,687",909,"1,367","$1,752,623",887,"1,367","$3,840,474","1,028","1,636","$4,361,363",,,
,Loans Total,,299,807,"$1,437,068",258,674,"$1,295,112",236,620,"$1,114,208",250,609,"$1,264,868",331,896,"$2,144,549",376,"1,101","$2,571,397",515,"1,482","$3,451,468",404,"1,066","$2,194,063",435,"1,096","$2,215,599",357,898,"$1,821,964",356,890,"$1,818,567",285,701,"$1,384,237",305,788,"$1,773,658",280,697,"$1,683,295",209,550,"$1,281,360",187,514,"$1,185,630",115,309,"$739,555",106,283,"$668,858",161,448,"$1,081,365",149,408,"$932,869",,,
,,Federal Direct Student Loan - subsidized,278,428,"$652,175",235,357,"$590,959",214,348,"$537,386",223,348,"$708,574",287,438,"$853,256",328,548,"$1,064,689",473,756,"$1,540,283",379,597,"$1,200,380",394,620,"$1,197,248",322,492,"$986,082",323,500,"$994,039",254,404,"$781,448",275,425,"$842,986",249,377,"$784,188",186,286,"$584,629",168,265,"$515,254",96,152,"$294,413",96,143,"$270,986",153,226,"$434,872",137,215,"$412,456",,,
,,Federal Direct Student Loan - unsubsidized,211,330,"$627,252",177,272,"$504,202",148,243,"$424,361",159,245,"$478,796",289,442,"$1,226,108",323,532,"$1,413,367",450,703,"$1,817,985",295,452,"$909,946",310,463,"$950,897",257,389,"$754,618",249,375,"$758,173",190,278,"$524,613",228,349,"$853,059",208,303,"$812,890",163,247,"$614,548",148,234,"$600,084",92,149,"$404,081",92,131,"$329,457",141,205,"$513,283",119,186,"$475,434",,,
,,PLUS loan: parent loan for undergraduate student,37,49,"$157,641",31,45,"$199,951",22,29,"$152,461",14,16,"$77,498",14,16,"$65,185",17,21,"$93,341",21,23,"$93,200",17,17,"$83,737",13,13,"$67,454",14,17,"$81,264",13,15,"$66,355",16,19,"$78,176",12,14,"$77,613",15,17,"$86,217",11,17,"$82,183",11,15,"$70,292",5,8,"$41,061",5,9,"$68,415",11,17,"$133,210",4,7,"$44,979",,,
,Scholarship Total,,,,,34,58,"$39,803",,,,,,,57,112,"$29,681",161,328,"$151,315",269,417,"$144,571",298,432,"$146,821",232,421,"$149,390",161,302,"$165,749",211,382,"$183,608",194,268,"$286,564",258,474,"$207,688",226,411,"$170,970",267,494,"$187,854",166,348,"$111,003",139,276,"$100,672",146,223,"$146,625",215,309,"$173,572",325,474,"$403,126",,,
,,Scholarship: institutional source,,,,,,,,,,,,,49,97,"$22,925",105,212,"$52,429",212,315,"$71,180",224,318,"$62,440",160,311,"$48,650",97,193,"$59,375",123,238,"$72,500",110,138,"$63,050",182,347,"$113,686",169,306,"$106,150",159,317,"$110,650",134,262,"$73,595",83,166,"$42,750",96,113,"$67,087",129,173,"$88,585",202,283,"$259,758",,,
,,Scholarship: non-institutional source,,,,34,58,"$39,803",,,,,,,8,15,"$6,756",67,116,"$98,886",64,102,"$73,391",66,92,"$73,506",67,78,"$86,740",56,87,"$95,374",74,102,"$92,732",80,102,"$209,514",72,97,"$79,002",51,75,"$50,320",99,139,"$60,076",18,26,"$11,708",37,74,"$43,622",35,62,"$62,438",95,130,"$81,249",135,164,"$124,880",,,
,,Scholarship: Osher Scholarship,,,,,,,,,,,,,,,,,,,,,,12,22,"$10,875",16,32,"$14,000",11,22,"$11,000",26,42,"$18,376",16,28,"$14,000",15,30,"$15,000",15,30,"$14,500",19,38,"$17,128",35,60,"$25,700",20,36,"$14,300",27,48,"$17,100",6,6,"$3,738",14,27,"$18,488",,,
,Work Study Total,,167,240,"$547,431",215,312,"$391,667",226,336,"$387,442",158,201,"$268,389",205,425,"$723,054",193,298,"$442,068",105,166,"$283,347",96,155,"$281,163",141,199,"$299,848",93,134,"$199,632",78,125,"$251,028",90,141,"$258,914",91,140,"$292,961",101,156,"$324,414",99,149,"$343,927",109,169,"$379,343",41,60,"$159,464",40,62,"$140,615",50,91,"$215,131",62,115,"$319,967",,,
,,California State Work Study (SWS),,,,,,,,,,,,,27,53,"$66,537",11,17,"$20,246",20,29,"$55,921",15,20,"$43,959",11,14,"$21,836",19,30,"$59,186",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Federal Work Study (FWS) (Federal share),167,240,"$547,431",215,312,"$391,667",226,336,"$387,442",158,201,"$268,389",188,372,"$656,517",186,281,"$421,822",87,137,"$227,426",87,135,"$237,204",132,185,"$278,012",74,104,"$140,446",60,91,"$162,062",72,108,"$177,390",61,96,"$193,386",76,111,"$208,610",83,120,"$263,853",90,138,"$286,057",34,50,"$132,733",40,53,"$125,256",50,75,"$189,376",56,90,"$271,905",,,
,,Other Work Study and matching funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,34,"$88,966",19,33,"$81,524",32,44,"$99,575",28,45,"$115,804",19,29,"$80,074",19,31,"$93,286",7,10,"$26,731",7,9,"$15,359",10,16,"$25,755",18,25,"$48,062",,,
Clovis Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,475","7,893","$2,825,665","6,106","14,177","$8,497,315","6,911","18,633","$13,771,293","7,174","20,763","$15,532,754","8,285","24,467","$17,796,073","8,472","23,842","$15,960,342","7,932","30,105","$20,593,812","8,591","31,665","$26,235,212","9,924","28,755","$23,439,381","10,889","29,573","$26,732,927"
,California College Promise Grant Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,475","7,893","$2,825,665","5,907","9,175","$3,107,208","6,639","10,402","$3,487,658","6,897","12,006","$3,913,497","8,126","14,607","$4,568,621","8,347","15,134","$4,692,001","7,401","13,025","$4,136,393","7,817","13,735","$4,315,613","9,527","14,765","$5,003,412","10,606","16,176","$5,403,436"
,,California College Promise - Method A-1 based on TANF recipient status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,"$3,496",4,5,"$1,817",4,7,"$1,242",6,10,"$2,668",3,4,$874,1,1,$230,1,1,$184,,,,1,2,$414,2,3,$460
,,California College Promise - Method A-2 based on SSI recipient status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,"$1,196",5,8,"$2,576",6,8,"$1,840",3,4,"$1,380",1,2,$138,1,2,$414,1,1,$506,,,,1,1,$322,3,3,$506
,,California College Promise - Method A-3 based on general assistance recipient status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,$644,,,,2,4,$414,,,,,,,2,3,$598,,,,,,,,,,,,
,,California College Promise - Method B based on income standards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,381","4,767","$1,647,536","3,667","5,621","$1,845,083","4,235","6,479","$2,094,758","4,135","6,320","$2,159,976","4,620","7,047","$2,343,677","4,584","7,213","$2,257,801","3,998","6,062","$1,884,298","3,997","6,079","$1,865,511","5,042","7,418","$2,168,576","7,002","10,379","$3,069,695"
,,California College Promise - Method C based on financial need,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,039","3,050","$1,145,860","2,154","3,411","$1,202,578","2,337","3,809","$1,351,086","2,488","4,033","$1,463,437","3,006","4,831","$1,656,026","3,062","4,980","$1,682,818","2,728","4,313","$1,478,666","3,172","5,021","$1,691,333","3,860","6,215","$2,095,668","2,814","4,449","$1,460,776"
,,California College Promise (AB19) Fee Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,974,"1,566","$257,562","1,532","2,625","$528,116","1,714","2,812","$705,842","1,551","2,571","$741,597","1,627","2,567","$729,168",591,"1,064","$714,121",733,"1,246","$834,279"
,,Fee Waiver – Dependent (children) of Deceased Law Enforcement/Fire Suppression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,$276,6,13,"$6,325",,,,1,2,"$1,058",,,,,,,,,,,,,,,,,,
,,Fee Waiver – Dependent (surviving spouse and children) of deceased or disabled member of CA National Guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,"$2,944",,,,,,,1,1,$598,,,,,,,,,,,,
,,Fee Waiver – Dependent of (children) deceased or disabled Veteran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,62,"$26,657",71,117,"$48,829",51,88,"$35,374",38,71,"$27,416",59,98,"$39,790",65,122,"$43,700",42,77,"$31,142",39,68,"$29,601",38,65,"$24,311",54,96,"$37,720"
,Grants Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,483","4,526","$5,023,231","2,405","7,743","$9,822,006","2,485","8,208","$11,052,453","2,741","9,367","$12,689,687","2,055","8,350","$10,918,076","3,977","16,581","$15,874,943","4,322","17,305","$20,548,920","3,834","13,159","$17,464,920","3,093","12,262","$19,936,154"
,,Basic Needs Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,"$1,234",21,21,"$13,942"
,,Bureau of Indian Affairs (BIA) Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,14,"$10,913",11,14,"$13,492",19,28,"$17,635",,,,,,,,,,,,,,,,,,
,,CAFYES Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,123,"$37,467",107,192,"$218,661",109,168,"$178,241",1,1,"$2,000",1,1,"$1,000",1,1,"$1,100",,,,,,,,,
,,Cal Grant A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,"$9,000",13,23,"$51,750",23,37,"$77,250",23,31,"$72,750"
,,Cal Grant B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263,467,"$348,620",605,"1,042","$798,171",721,"1,229","$940,396",817,"1,431","$1,330,554",796,"1,358","$1,299,697",901,"1,507","$1,336,207","1,029","1,776","$1,689,276","1,071","1,890","$1,797,861","1,226","2,097","$2,036,869"
,,Cal Grant C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,"$2,188",4,4,"$1,505",2,3,"$1,368",4,7,"$7,368",2,3,"$3,274",,,,,,,8,14,"$20,051"
,,CalWORKs Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,104,"$77,700",55,88,"$107,768",40,64,"$46,293",53,75,"$42,450",63,97,"$42,803",77,129,"$41,096"
,,CARE Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,53,"$58,150",46,72,"$121,000",60,115,"$204,296",61,125,"$199,145"
,,CARES/HEERF federal grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,906","8,113","$5,431,375","4,076","7,557","$5,617,550","3,312","3,321","$978,515",,,
,,Chafee Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,23,"$57,500",17,28,"$79,000",17,24,"$60,000",13,21,"$52,500",20,32,"$80,000"
,,Completion Grant (CCCG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,63,"$43,240",,,,564,564,"$282,000",,,,,,,,,,,,,,,
,,Disaster Relief Emergency Student Financial Aid (SB 116),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,"$1,000",,,,,,,,,,15,15,"$32,889"
,,EOPS Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278,278,"$62,094",367,596,"$194,714",379,601,"$204,782",408,641,"$144,700",421,688,"$146,694",409,655,"$88,588",496,750,"$187,500",539,869,"$130,272",609,"1,025","$153,671"
,,Equity Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,269,"$48,922",,,,552,677,"$102,201"
,,Full-time Student Success Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,323,"$96,900",500,793,"$394,500",,,,,,,,,,,,,,,,,,,,,
,,Golden State Education and Training Grant Program (GSETGP) Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,"$125,000",,,,,,
,,Other grant: California College Promise (AB19) source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,$600,,,,,,,,,,,,
,,Other grant: institutional source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,$731,,,,,,,46,49,"$2,800",,,
,,Other grant: non-institutional source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32,"$20,000",46,52,"$30,000",41,52,"$36,000",32,39,"$19,325",,,,103,175,"$170,950",140,220,"$286,715",115,188,"$333,589",83,119,"$324,660"
,,Pell Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,264","2,214","$4,124,737","2,200","4,027","$7,788,196","2,254","4,292","$8,335,547","2,344","4,592","$9,152,184","1,954","3,886","$7,629,312","1,938","3,543","$6,911,435","2,077","4,126","$8,689,047","2,188","4,312","$9,866,721","2,587","5,409","$12,915,454"
,,SEOG (Supplemental Educational Opportunity Grant),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677,"1,075","$322,500",657,960,"$338,844",567,834,"$250,200",626,888,"$266,400",975,"1,265","$379,924",823,"1,391","$418,483",739,951,"$285,300",610,817,"$245,100",674,998,"$325,044"
,,SSSP Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,38,"$24,700",36,40,"$26,000",29,34,"$25,700",27,38,"$42,750"
,,Student Success Completion Grant (SSCG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,"1,000","$1,088,147",662,"1,104","$1,413,456",596,"1,029","$1,286,482",622,"1,006","$1,296,388",807,"1,372","$3,318,410",810,"1,403","$3,706,279",944,"1,532","$3,575,632"
,Loans Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,91,"$151,482",54,90,"$173,550",57,101,"$186,734",49,88,"$154,672",28,49,"$108,763",24,64,"$121,547",12,21,"$37,073",20,42,"$82,205",34,95,"$198,920"
,,Federal Direct Student Loan - subsidized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,73,"$126,002",50,74,"$151,801",46,69,"$135,496",44,70,"$131,701",24,35,"$65,218",23,41,"$75,772",10,13,"$18,259",19,27,"$46,496",33,52,"$94,961"
,,Federal Direct Student Loan - unsubsidized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,18,"$25,480",10,16,"$21,749",19,32,"$51,238",12,18,"$22,971",9,14,"$43,545",13,23,"$45,775",7,8,"$18,814",11,15,"$35,709",27,43,"$103,959"
,Scholarship Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,297,"$130,749",205,288,"$153,043",184,274,"$150,024",185,262,"$157,328",174,266,"$177,822",242,379,"$362,506",309,513,"$1,130,804",466,685,"$626,652",726,938,"$949,021"
,,Scholarship: institutional source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,295,"$129,649",205,288,"$153,043",183,273,"$149,474",45,64,"$35,673",125,184,"$92,120",116,184,"$83,186",114,193,"$103,430",138,228,"$107,853",166,287,"$155,325"
